"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/jfree/data/xy/YIntervalSeriesCollection.getItemCount:(I)I","1","1","1","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getSeries","getItemCount","","","public","1"
"org/jfree/data/xy/YIntervalSeriesCollection.getX:(II)Ljava/lang/Number;","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","YIntervalSeries","","getX get","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getYValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","YIntervalSeries","","getYValue get","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getStartYValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","YIntervalSeries","","get getYLowValue","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getEndYValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","YIntervalSeries","","get getYHighValue","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getY:(II)Ljava/lang/Number;","1","2","3","1","0","24","21","105.41561814669026","5.0","527.0780907334513","0.03513853938223009","0","2","0","13","11","YIntervalSeries","","getYValue get <init>","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getStartX:(II)Ljava/lang/Number;","1","2","2","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getX","","","","public","1"
"org/jfree/data/xy/YIntervalSeriesCollection.getEndX:(II)Ljava/lang/Number;","1","2","2","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getX","","","","public","1"
"org/jfree/data/xy/YIntervalSeriesCollection.getStartY:(II)Ljava/lang/Number;","1","2","3","1","0","24","21","105.41561814669026","5.0","527.0780907334513","0.03513853938223009","0","2","0","13","11","YIntervalSeries","","get <init> getYLowValue","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.getEndY:(II)Ljava/lang/Number;","1","2","3","1","0","24","21","105.41561814669026","5.0","527.0780907334513","0.03513853938223009","0","2","0","13","11","YIntervalSeries","","get getYHighValue <init>","","","public","2"
"org/jfree/data/xy/YIntervalSeriesCollection.removeSeries:(I)V","2","1","2","1","0","54","30","264.97209216286","7.0","1854.80464514002","0.08832403072095334","0","3","0","30","24","YIntervalSeries","fireDatasetChanged getSeriesCount","removeChangeListener get <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/YIntervalSeriesCollection.removeSeries:(Lorg/jfree/data/xy/YIntervalSeries;)V","2","1","1","1","0","44","24","201.7383500317309","6.0","1210.4301001903855","0.06724611667724363","0","2","0","25","19","YIntervalSeries","fireDatasetChanged","contains removeChangeListener <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/YIntervalSeriesCollection.removeAllSeries:()V","2","0","2","1","0","50","28","240.36774610288018","8.0","1922.9419688230414","0.08012258203429339","0","2","1","27","23","YIntervalSeries","fireDatasetChanged","removeChangeListener size get clear <init>","","","public","7"
"org/jfree/data/xy/YIntervalSeriesCollection.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","31","17","126.71134807876054","10.0","1267.1134807876053","0.04223711602625351","0","2","0","19","12","YIntervalSeriesCollection Object","","equal","","","public","6"
"org/jfree/data/xy/YIntervalSeriesCollection.clone:()Ljava/lang/Object;","1","0","1","1","0","23","15","89.85848369899593","4.0","359.4339347959837","0.02995282789966531","0","2","0","12","11","YIntervalSeriesCollection","","clone deepClone","CloneNotSupportedException","","public","3"
"org/jfree/data/xy/AbstractXYDataset.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/jfree/data/xy/AbstractXYDataset.getDomainOrder:()Lorg/jfree/data/DomainOrder;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"org/jfree/data/xy/AbstractXYDataset.getXValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getX","doubleValue","","","public","5"
"org/jfree/data/xy/AbstractXYDataset.getYValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getY","doubleValue","","","public","5"
"org/jfree/data/xy/AbstractXYDataset.getSelectionState:()Lorg/jfree/data/xy/XYDatasetSelectionState;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/AbstractXYDataset.setSelectionState:(Lorg/jfree/data/xy/XYDatasetSelectionState;)V","1","1","1","1","0","16","13","59.207035490257475","3.0","177.62110647077242","0.019735678496752493","0","1","0","9","7","XYDatasetSelectionState","fireDatasetChanged","<init>","","","public","3"
"org/jfree/data/xy/YisSymbolic.getYSymbolicValues:()[Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/xy/YisSymbolic.getYSymbolicValue:(II)Ljava/lang/String;","2","2","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/xy/YisSymbolic.getYSymbolicValue:(Ljava/lang/Integer;)Ljava/lang/String;","2","1","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/xy/XYDatasetTableModel.<init>:()V","1","0","0","0","0","10","8","30.0","2.0","60.0","0.01","0","0","0","6","4","","","<init>","","","public","3"
"org/jfree/data/xy/XYDatasetTableModel.<init>:(Lorg/jfree/data/xy/TableXYDataset;)V","1","1","1","1","0","19","11","65.72920075410866","3.0","197.18760226232598","0.021909733584702887","0","0","0","10","9","TableXYDataset","<init>","addChangeListener","","","public","4"
"org/jfree/data/xy/XYDatasetTableModel.setModel:(Lorg/jfree/data/xy/TableXYDataset;)V","1","1","1","1","0","19","11","65.72920075410866","3.0","197.18760226232598","0.021909733584702887","0","0","0","10","9","TableXYDataset","fireTableDataChanged","addChangeListener","","","public","4"
"org/jfree/data/xy/XYDatasetTableModel.getRowCount:()I","1","0","0","0","0","14","9","44.37895002019238","3.0","133.13685006057713","0.014792983340064125","0","0","0","9","5","","","getItemCount","","","public","3"
"org/jfree/data/xy/XYDatasetTableModel.getColumnCount:()I","1","0","0","0","0","16","11","55.350905898196764","4.0","221.40362359278706","0.018450301966065587","0","0","0","11","5","","","getSeriesCount","","","public","3"
"org/jfree/data/xy/XYDatasetTableModel.getColumnName:(I)Ljava/lang/String;","1","1","1","0","0","31","18","129.26767504471167","5.0","646.3383752235584","0.043089225014903886","0","0","0","19","12","","","getColumnName toString getSeriesKey","","","public","5"
"org/jfree/data/xy/XYDatasetTableModel.getValueAt:(II)Ljava/lang/Object;","1","2","2","0","0","34","17","138.97373660251156","10.0","1389.7373660251155","0.04632457886750385","0","0","0","22","12","","","getX getY","","","public","5"
"org/jfree/data/xy/XYDatasetTableModel.datasetChanged:(Lorg/jfree/data/event/DatasetChangeEvent;)V","1","1","1","1","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","DatasetChangeEvent","fireTableDataChanged","","","","public","2"
"org/jfree/data/xy/XYDatasetTableModel.isCellEditable:(II)Z","1","2","2","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"org/jfree/data/xy/XYDatasetTableModel.setValueAt:(Ljava/lang/Object;II)V","1","3","3","1","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","Object","isCellEditable","","","","public","2"
"org/jfree/data/xy/VectorSeriesCollection.<init>:()V","1","0","0","0","0","14","11","48.43204266092217","3.0","145.2961279827665","0.016144014220307392","0","1","0","8","6","","","<init>","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.addSeries:(Lorg/jfree/data/xy/VectorSeries;)V","1","1","1","1","0","35","22","156.0801066523054","5.0","780.400533261527","0.05202670221743513","0","2","0","20","15","VectorSeries","fireDatasetChanged","add <init> addChangeListener","","IllegalArgumentException","public","6"
"org/jfree/data/xy/VectorSeriesCollection.removeSeries:(Lorg/jfree/data/xy/VectorSeries;)Z","2","1","2","1","0","41","25","190.3981037807637","6.0","1142.3886226845823","0.0634660345935879","0","2","0","23","18","VectorSeries","fireDatasetChanged","removeChangeListener <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/VectorSeriesCollection.removeAllSeries:()V","2","0","2","1","0","50","28","240.36774610288018","8.0","1922.9419688230414","0.08012258203429339","0","2","1","27","23","VectorSeries","fireDatasetChanged","removeChangeListener size get clear <init>","","","public","7"
"org/jfree/data/xy/VectorSeriesCollection.getSeriesCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/xy/VectorSeriesCollection.getSeries:(I)Lorg/jfree/data/xy/VectorSeries;","2","1","1","0","0","28","22","124.86408532184433","6.0","749.184511931066","0.04162136177394811","0","2","0","16","12","","getSeriesCount","get <init>","","IllegalArgumentException","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getSeriesKey:(I)Ljava/lang/Comparable;","1","1","1","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getSeries","getKey","","","public","1"
"org/jfree/data/xy/VectorSeriesCollection.indexOf:(Lorg/jfree/data/xy/VectorSeries;)I","1","1","1","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","11","8","VectorSeries","","<init> indexOf","","IllegalArgumentException","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getItemCount:(I)I","1","1","1","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getSeries","getItemCount","","","public","1"
"org/jfree/data/xy/VectorSeriesCollection.getXValue:(II)D","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","VectorDataItem VectorSeries","","get getXValue getDataItem","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getX:(II)Ljava/lang/Number;","1","2","2","0","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","1","0","8","6","","getXValue","<init>","","","public","1"
"org/jfree/data/xy/VectorSeriesCollection.getYValue:(II)D","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","VectorDataItem VectorSeries","","getYValue get getDataItem","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getY:(II)Ljava/lang/Number;","1","2","2","0","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","1","0","8","6","","getYValue","<init>","","","public","1"
"org/jfree/data/xy/VectorSeriesCollection.getVector:(II)Lorg/jfree/data/xy/Vector;","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","VectorDataItem VectorSeries","","get getVector getDataItem","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getVectorXValue:(II)D","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","VectorDataItem VectorSeries","","getVectorX get getDataItem","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.getVectorYValue:(II)D","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","VectorDataItem VectorSeries","","get getDataItem getVectorY","","","public","3"
"org/jfree/data/xy/VectorSeriesCollection.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","31","17","126.71134807876054","10.0","1267.1134807876053","0.04223711602625351","0","2","0","19","12","Object VectorSeriesCollection","","equal","","","public","6"
"org/jfree/data/xy/VectorSeriesCollection.clone:()Ljava/lang/Object;","1","0","1","1","0","23","15","89.85848369899593","4.0","359.4339347959837","0.02995282789966531","0","2","0","12","11","VectorSeriesCollection","","clone deepClone","CloneNotSupportedException","","public","3"
"org/jfree/data/xy/YIntervalDataItem.<init>:(DDDD)V","1","4","4","0","0","23","16","92.0","3.0","276.0","0.030666666666666665","0","2","0","13","10","","","<init>","","","public","2"
"org/jfree/data/xy/YIntervalDataItem.getX:()Ljava/lang/Double;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","getComparable","","","","public","1"
"org/jfree/data/xy/YIntervalDataItem.getYValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YInterval","getObject","getY","","","public","4"
"org/jfree/data/xy/YIntervalDataItem.getYLowValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YInterval","getObject","getYLow","","","public","4"
"org/jfree/data/xy/YIntervalDataItem.getYHighValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YInterval","getObject","getYHigh","","","public","4"
"org/jfree/data/xy/AbstractIntervalXYDataset.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/jfree/data/xy/AbstractIntervalXYDataset.getStartXValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getStartX","doubleValue","","","public","5"
"org/jfree/data/xy/AbstractIntervalXYDataset.getEndXValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getEndX","doubleValue","","","public","5"
"org/jfree/data/xy/AbstractIntervalXYDataset.getStartYValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getStartY","doubleValue","","","public","5"
"org/jfree/data/xy/AbstractIntervalXYDataset.getEndYValue:(II)D","2","2","4","1","0","25","16","100.0","4.0","400.0","0.03333333333333333","0","0","0","13","12","Number","getEndY","doubleValue","","","public","5"
"org/jfree/data/xy/Vector.<init>:(DD)V","1","2","2","0","0","17","11","58.81033751683406","2.0","117.62067503366812","0.019603445838944685","0","0","0","9","8","","","<init>","","","public","4"
"org/jfree/data/xy/Vector.getX:()D","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/Vector.getY:()D","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/Vector.getLength:()D","1","0","0","0","0","22","10","73.08241808752197","6.0","438.49450852513183","0.024360806029173992","0","0","0","13","9","","","sqrt","","","public","1"
"org/jfree/data/xy/Vector.getAngle:()D","1","0","0","0","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","","","atan2","","","public","1"
"org/jfree/data/xy/Vector.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","46","18","191.81655006634637","12.0","2301.7986007961563","0.06393885002211545","0","2","0","31","15","Object Vector","","","","","public","10"
"org/jfree/data/xy/Vector.hashCode:()I","1","0","2","0","0","57","24","261.34286254110594","14.0","3658.8000755754833","0.08711428751370198","0","0","0","34","23","","","doubleToLongBits","","","public","6"
"org/jfree/data/xy/XYDomainInfo.getDomainBounds:(Ljava/util/List;Z)Lorg/jfree/data/Range;","2","2","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/xy/XYDataItem.<init>:(Ljava/lang/Number;Ljava/lang/Number;)V","1","2","2","2","0","32","19","135.93368043019473","4.0","543.7347217207789","0.04531122681006491","0","1","0","18","14","Number","","<init>","","IllegalArgumentException","public","7"
"org/jfree/data/xy/XYDataItem.<init>:(DD)V","1","2","2","0","0","19","12","68.11428751370197","3.0","204.3428625411059","0.022704762504567322","0","2","0","11","8","","<init>","<init>","","","public","2"
"org/jfree/data/xy/XYDataItem.getX:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/XYDataItem.getXValue:()D","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","doubleValue","","","public","1"
"org/jfree/data/xy/XYDataItem.getY:()Ljava/lang/Number;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/XYDataItem.getYValue:()D","2","0","1","0","0","19","12","68.11428751370197","3.0","204.3428625411059","0.022704762504567322","0","0","0","10","9","","","doubleValue","","","public","4"
"org/jfree/data/xy/XYDataItem.setY:(D)V","1","1","1","0","0","12","12","43.01955000865388","3.0","129.05865002596164","0.014339850002884626","0","1","0","7","5","","setY","<init>","","","public","2"
"org/jfree/data/xy/XYDataItem.setY:(Ljava/lang/Number;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Number","","","","","public","2"
"org/jfree/data/xy/XYDataItem.isSelected:()Z","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/xy/XYDataItem.setSelected:(Z)V","1","1","1","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","","","","public","2"
"org/jfree/data/xy/XYDataItem.compareTo:(Ljava/lang/Object;)I","4","1","7","2","0","54","31","267.5266007608913","22.0","5885.585216739609","0.08917553358696377","0","2","0","35","19","Object XYDataItem","getX","doubleValue","","","public","11"
"org/jfree/data/xy/XYDataItem.clone:()Ljava/lang/Object;","1","0","2","2","0","19","12","68.11428751370197","3.0","204.3428625411059","0.022704762504567322","0","0","0","11","8","CloneNotSupportedException Object","","printStackTrace clone","","CloneNotSupportedException","public","6"
"org/jfree/data/xy/XYDataItem.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","59","22","263.1064654996005","12.0","3157.277585995206","0.0877021551665335","0","2","0","38","21","Object XYDataItem","","equal equals","","","public","12"
"org/jfree/data/xy/XYDataItem.hashCode:()I","2","0","1","0","0","42","21","184.47733175670794","12.0","2213.7279810804953","0.06149244391890265","0","0","0","24","18","","","hashCode","","","public","4"
"org/jfree/data/xy/XYDataItem.toString:()Ljava/lang/String;","1","0","0","0","0","29","16","116.0","3.0","348.0","0.03866666666666667","0","1","0","14","15","","getYValue getXValue","toString <init> append","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.<init>:()V","1","0","0","0","0","14","11","48.43204266092217","3.0","145.2961279827665","0.016144014220307392","0","1","0","8","6","","","<init>","","","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.addSeries:(Lorg/jfree/data/xy/XIntervalSeries;)V","1","1","1","1","0","35","22","156.0801066523054","5.0","780.400533261527","0.05202670221743513","0","2","0","20","15","XIntervalSeries","fireDatasetChanged","add <init> addChangeListener","","IllegalArgumentException","public","6"
"org/jfree/data/xy/XIntervalSeriesCollection.getSeriesCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.getSeries:(I)Lorg/jfree/data/xy/XIntervalSeries;","2","1","1","0","0","28","22","124.86408532184433","6.0","749.184511931066","0.04162136177394811","0","2","0","16","12","","getSeriesCount","get <init>","","IllegalArgumentException","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.getSeriesKey:(I)Ljava/lang/Comparable;","1","1","1","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getSeries","getKey","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.getItemCount:(I)I","1","1","1","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getSeries","getItemCount","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.getX:(II)Ljava/lang/Number;","1","2","4","2","0","27","19","114.6940428629768","4.0","458.7761714519072","0.03823134762099227","0","2","0","14","13","XIntervalSeries XIntervalDataItem","","getX get getDataItem","","","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.getStartXValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","XIntervalSeries","","get getXLowValue","","","public","2"
"org/jfree/data/xy/XIntervalSeriesCollection.getEndXValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","XIntervalSeries","","getXHighValue get","","","public","2"
"org/jfree/data/xy/XIntervalSeriesCollection.getYValue:(II)D","1","2","3","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","10","9","XIntervalSeries","","getYValue get","","","public","2"
"org/jfree/data/xy/XIntervalSeriesCollection.getY:(II)Ljava/lang/Number;","1","2","4","2","0","32","24","146.71880002307702","5.0","733.5940001153851","0.04890626667435901","0","3","0","17","15","XIntervalSeries XIntervalDataItem","","getYValue get getDataItem <init>","","","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.getStartX:(II)Ljava/lang/Number;","1","2","4","2","0","32","24","146.71880002307702","5.0","733.5940001153851","0.04890626667435901","0","3","0","17","15","XIntervalSeries XIntervalDataItem","","get getXLowValue getDataItem <init>","","","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.getEndX:(II)Ljava/lang/Number;","1","2","4","2","0","32","24","146.71880002307702","5.0","733.5940001153851","0.04890626667435901","0","3","0","17","15","XIntervalSeries XIntervalDataItem","","getXHighValue get getDataItem <init>","","","public","3"
"org/jfree/data/xy/XIntervalSeriesCollection.getStartY:(II)Ljava/lang/Number;","1","2","2","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getY","","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.getEndY:(II)Ljava/lang/Number;","1","2","2","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","getY","","","","public","1"
"org/jfree/data/xy/XIntervalSeriesCollection.removeSeries:(I)V","2","1","2","1","0","54","30","264.97209216286","7.0","1854.80464514002","0.08832403072095334","0","3","0","30","24","XIntervalSeries","fireDatasetChanged getSeriesCount","removeChangeListener get <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/XIntervalSeriesCollection.removeSeries:(Lorg/jfree/data/xy/XIntervalSeries;)V","2","1","1","1","0","44","24","201.7383500317309","6.0","1210.4301001903855","0.06724611667724363","0","2","0","25","19","XIntervalSeries","fireDatasetChanged","contains removeChangeListener <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/XIntervalSeriesCollection.removeAllSeries:()V","2","0","2","1","0","50","28","240.36774610288018","8.0","1922.9419688230414","0.08012258203429339","0","2","1","27","23","XIntervalSeries","fireDatasetChanged","removeChangeListener size get clear <init>","","","public","7"
"org/jfree/data/xy/XIntervalSeriesCollection.equals:(Ljava/lang/Object;)Z","1","1","2","2","0","31","17","126.71134807876054","10.0","1267.1134807876053","0.04223711602625351","0","2","0","19","12","Object XIntervalSeriesCollection","","equal","","","public","6"
"org/jfree/data/xy/XIntervalSeriesCollection.clone:()Ljava/lang/Object;","1","0","1","1","0","23","15","89.85848369899593","4.0","359.4339347959837","0.02995282789966531","0","2","0","12","11","XIntervalSeriesCollection","","clone deepClone","CloneNotSupportedException","","public","3"
"org/jfree/data/xy/XIntervalDataItem.<init>:(DDDD)V","1","4","4","0","0","23","16","92.0","3.0","276.0","0.030666666666666665","0","2","0","13","10","","","<init>","","","public","2"
"org/jfree/data/xy/XIntervalDataItem.getX:()Ljava/lang/Number;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","getComparable","","","","public","1"
"org/jfree/data/xy/XIntervalDataItem.getYValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YWithXInterval","getObject","getY","","","public","4"
"org/jfree/data/xy/XIntervalDataItem.getXLowValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YWithXInterval","getObject","getXLow","","","public","4"
"org/jfree/data/xy/XIntervalDataItem.getXHighValue:()D","1","0","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","1","0","10","8","YWithXInterval","getObject","getXHigh","","","public","4"
"org/jfree/data/xy/XYSeriesCollection.<init>:()V","1","0","0","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","0","0","4","2","","<init>","","","","public","2"
"org/jfree/data/xy/XYSeriesCollection.<init>:(Lorg/jfree/data/xy/XYSeries;)V","2","1","1","1","0","58","25","269.343659006934","12.0","3232.123908083208","0.089781219668978","0","2","0","32","26","XYSeries","setSelectionState addChangeListener","add <init> addChangeListener","","","public","9"
"org/jfree/data/xy/XYSeriesCollection.getDomainOrder:()Lorg/jfree/data/DomainOrder;","2","0","3","1","0","37","21","162.51574464281416","6.0","975.0944678568849","0.05417191488093805","0","0","1","21","16","XYSeries","getSeries getSeriesCount","getAutoSort","","","public","7"
"org/jfree/data/xy/XYSeriesCollection.addSeries:(Lorg/jfree/data/xy/XYSeries;)V","1","1","1","1","0","35","22","156.0801066523054","5.0","780.400533261527","0.05202670221743513","0","2","0","20","15","XYSeries","fireDatasetChanged","add <init> addChangeListener","","IllegalArgumentException","public","6"
"org/jfree/data/xy/XYSeriesCollection.removeSeries:(I)V","2","1","2","1","0","54","30","264.97209216286","7.0","1854.80464514002","0.08832403072095334","0","3","0","30","24","XYSeries","fireDatasetChanged getSeriesCount","removeChangeListener get <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/XYSeriesCollection.removeSeries:(Lorg/jfree/data/xy/XYSeries;)V","2","1","1","1","0","44","24","201.7383500317309","6.0","1210.4301001903855","0.06724611667724363","0","2","0","25","19","XYSeries","fireDatasetChanged","contains removeChangeListener <init> remove","","IllegalArgumentException","public","7"
"org/jfree/data/xy/XYSeriesCollection.removeAllSeries:()V","2","0","2","1","0","50","28","240.36774610288018","8.0","1922.9419688230414","0.08012258203429339","0","2","1","27","23","XYSeries","fireDatasetChanged","removeChangeListener size get clear <init>","","","public","7"
"org/jfree/data/xy/XYSeriesCollection.getSeriesCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/xy/XYSeriesCollection.getSeries:()Ljava/util/List;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","unmodifiableList","","","public","1"
"org/jfree/data/xy/XYSeriesCollection.indexOf:(Lorg/jfree/data/xy/XYSeries;)I","1","1","1","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","11","8","XYSeries","","<init> indexOf","","IllegalArgumentException","public","3"
"org/jfree/data/xy/XYSeriesCollection.getSeries:(I)Lorg/jfree/data/xy/XYSeries;","2","1","1","0","0","28","22","124.86408532184433","6.0","749.184511931066","0.04162136177394811","0","2","0","16","12","","getSeriesCount","get <init>","","IllegalArgumentException","public","3"
